,cik,name,ticker,exchange,market_cap
89,1823587,Sky Harbour Group Corp,SKYH,NYSE,738378048
90,316888,AVINO SILVER & GOLD MINES LTD,ASM,NYSE,781041856
91,896429,"CANTALOUPE, INC.",CTLP,Nasdaq,777505792
92,1819559,Western Asset Diversified Income Fund (WDI),WDI,NYSE,735995776
93,1604665,Westlake Chemical Partners LP,WLKP,NYSE,661917632
94,1506289,BlackRock Resources & Commodities Strategy Trust,BCX,NYSE,785252352
95,1326200,GENCO SHIPPING & TRADING LTD,GNK,NYSE,758052672
96,1268884,CBRE GLOBAL REAL ESTATE INCOME FUND,IGR,NYSE,726762624
97,1559432,"TXO Partners, L.P.",TXO,NYSE,758762496
98,1725123,Cango Inc.,CANG,NYSE,567248704
99,1833835,Paysafe Ltd,PSFE,NYSE,433111968
100,1232582,ASHFORD HOSPITALITY TRUST INC,AHT,NYSE,526945312
101,1848309,Sigma Lithium Corp,SGML,Nasdaq,659111296
102,2023658,Bicara Therapeutics Inc.,BCAX,Nasdaq,781190656
103,1683606,Cars.com Inc.,CARS,NYSE,692039488
104,1855066,NYLI CBRE Global Infrastructure Megatrends Term Fund,MEGI,NYSE,729706496
105,357301,TRUSTCO BANK CORP N Y,TRST,Nasdaq,733460288
106,1013605,PRECISION DRILLING Corp,PDS,NYSE,773650048
107,896156,ETHAN ALLEN INTERIORS INC,ETD,NYSE,577123008
108,930236,REDWOOD TRUST INC,RWT,NYSE,658747456
109,1772177,"KURA SUSHI USA, INC.",KRUS,Nasdaq,577232960
110,883618,NUVEEN SELECT TAX FREE INCOME PORTFOLIO,NXP,NYSE,742698880
111,1314052,ANAVEX LIFE SCIENCES CORP.,AVXL,Nasdaq,488735904
112,1383082,INVESCO DB AGRICULTURE FUND,DBA,NYSE,724224000
113,1085913,FARMERS & MERCHANTS BANCORP,FMCB,OTC,738374144
114,1728190,HUYA Inc.,HUYA,NYSE,614365376
115,1655099,Brookfield Real Assets Income Fund Inc.,RA,NYSE,716653440
116,926282,"ADTRAN Holdings, Inc.",ADTN,Nasdaq,614489664
117,880117,SANFILIPPO JOHN B & SON INC,JBSS,Nasdaq,790062976
118,63296,MATTHEWS INTERNATIONAL CORP,MATW,Nasdaq,789170880
119,764401,INSTEEL INDUSTRIES INC,IIIN,NYSE,626763392
120,1886878,PIMCO Access Income Fund,PAXS,NYSE,727281216
121,1286613,LINCOLN EDUCATIONAL SERVICES CORP,LINC,Nasdaq,658091200
122,351834,SunOpta Inc.,STKL,Nasdaq,498875392
123,915840,BEAZER HOMES USA INC,BZH,NYSE,636130496
124,790816,BRANDYWINE REALTY TRUST,BDN,NYSE,604524800
125,1705110,Angi Inc.,ANGI,Nasdaq,482423456
126,1788399,DoubleLine Yield Opportunities Fund,DLY,NYSE,710384128
127,1630472,"TPG RE Finance Trust, Inc.",TRTX,NYSE,705134720
128,1042729,MERCANTILE BANK CORP,MBWM,Nasdaq,740348928
129,1850270,PROKIDNEY CORP.,PROK,Nasdaq,685902336
130,354963,SHENANDOAH TELECOMMUNICATIONS CO/VA/,SHEN,Nasdaq,572587648
131,883412,"BLACKROCK MUNIYIELD QUALITY FUND III, INC.",MYI,NYSE,735127808
132,1503290,abrdn Income Credit Strategies Fund,ACP,NYSE,683815168
133,1481582,Ryerson Holding Corp,RYI,NYSE,648696576
134,1793663,VTEX,VTEX,NYSE,700081280
135,1597033,Sabre Corp,SABR,Nasdaq,691048576
136,1606757,"Kimball Electronics, Inc.",KE,Nasdaq,689505856
137,1692376,"Velocity Financial, Inc.",VEL,NYSE,715371584
138,1538263,"HomeTrust Bancshares, Inc.",HTB,NYSE,701598976
139,1549346,"Shutterstock, Inc.",SSTK,NYSE,745777536
140,1692705,Qudian Inc.,QD,NYSE,790955904
141,1928446,"Granite Ridge Resources, Inc.",GRNT,NYSE,682506624
142,1836564,Valneva SE,VALN,Nasdaq,793013632
143,1717547,"BrightSpire Capital, Inc.",BRSP,NYSE,708341760
144,1832483,Serve Robotics Inc. /DE/,SERV,Nasdaq,638676032
145,736772,CNB FINANCIAL CORP/PA,CCNE,Nasdaq,736905984
146,1847590,Bowman Consulting Group Ltd.,BWMN,Nasdaq,593466048
147,1053369,ELITE PHARMACEUTICALS INC /NV/,ELTP,OTC,717545344
148,1517022,"Akebia Therapeutics, Inc.",AKBA,Nasdaq,467044160
149,1287213,"DOUGLAS DYNAMICS, INC",PLOW,NYSE,717723328
150,763532,LSI INDUSTRIES INC,LYTS,Nasdaq,573661952
151,1513363,FIDUS INVESTMENT Corp,FDUS,Nasdaq,716893056
152,1747068,"MetroCity Bankshares, Inc.",MCBS,Nasdaq,668867328
153,1062231,AMERICAN AXLE & MANUFACTURING HOLDINGS INC,AXL,NYSE,739478720
154,1227476,Nuveen Credit Strategies Income Fund,JQC,NYSE,753865024
155,1160864,BLACKROCK CORE BOND TRUST,BHK,NYSE,696963712
156,1528129,"Vital Energy, Inc.",VTLE,NYSE,667401664
157,1868995,CI&T Inc,CINT,NYSE,616373696
158,726601,CAPITAL CITY BANK GROUP INC,CCBG,Nasdaq,697602816
159,925683,JOHN HANCOCK FINANCIAL OPPORTUNITIES FUND,BTO,NYSE,655978368
160,1296250,PIMCO Income Strategy Fund II,PFN,NYSE,710825984
161,1142750,AMN HEALTHCARE SERVICES INC,AMN,NYSE,617309440
162,1743907,"Sun Country Airlines Holdings, Inc.",SNCY,Nasdaq,664731520
163,1569187,"Armada Hoffler Properties, Inc.",AHH,NYSE,651076608
164,1538379,"Ibotta, Inc.",IBTA,NYSE,631028800
165,88000,Horizon Kinetics Holding Corp,HKHC,OTC,568377280
166,1979330,"NB Bancorp, Inc.",NBBK,Nasdaq,757499072
167,1753539,BlackSky Technology Inc.,BKSY,NYSE,490219168
168,1016281,CARRIAGE SERVICES INC,CSV,NYSE,654527680
169,1604522,abrdn Healthcare Opportunities Fund,THQ,NYSE,753100864
170,1201792,AMERICAN PUBLIC EDUCATION INC,APEI,Nasdaq,624837760
171,1737924,Nuveen Churchill Direct Lending Corp.,NCDL,NYSE,715124672
172,1520504,"Controladora Vuela Compania de Aviacion, S.A.B. de C.V.",VLRS,NYSE,777556608
173,732417,HILLS BANCORPORATION,HBIA,OTC,692666688
174,1624322,"Business First Bancshares, Inc.",BFST,Nasdaq,748084224
175,766011,Caledonia Mining Corp Plc,CMCL,NYSE,555398656
176,714562,FIRST FINANCIAL CORP /IN/,THFF,Nasdaq,672642560
177,1774170,"Powerfleet, Inc.",AIOT,Nasdaq,667784832
178,1337117,Ituran Location & Control Ltd.,ITRN,Nasdaq,736659264
179,1706431,"Vir Biotechnology, Inc.",VIR,Nasdaq,761013824
180,897322,GILAT SATELLITE NETWORKS LTD,GILT,Nasdaq,786673600
181,1383441,Virtus Equity & Convertible Income Fund,NIE,NYSE,702422272
182,1512499,"LINDBLAD EXPEDITIONS HOLDINGS, INC.",LIND,Nasdaq,667578944
183,854560,"GREAT SOUTHERN BANCORP, INC.",GSBC,Nasdaq,657369152
184,95029,STURM RUGER & CO INC,RGR,NYSE,490445216
185,1275168,FIVE STAR BANCORP,FSBC,Nasdaq,741448384
186,1598428,Metallus Inc.,MTUS,NYSE,665131200
187,800457,DONEGAL GROUP INC,DGICA,Nasdaq,707514496
188,1398733,"Aquestive Therapeutics, Inc.",AQST,Nasdaq,646616512
189,1879248,Ads-Tec Energy Public Ltd Co,ADSE,Nasdaq,582378240
190,1124105,"GYRE THERAPEUTICS, INC.",GYRE,Nasdaq,778371904
191,1720446,Zepp Health Corp,ZEPP,NYSE,362075168
192,790500,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",FAX,NYSE,632449856
193,357294,HOVNANIAN ENTERPRISES INC,HOV,NYSE,615501760
194,1881487,ProFrac Holding Corp.,ACDC,Nasdaq,669223360
195,866729,SCHOLASTIC CORP,SCHL,Nasdaq,710672704
196,1505952,"DOMO, INC.",DOMO,Nasdaq,509617920
197,899923,MYRIAD GENETICS INC,MYGN,Nasdaq,591907136
198,1013488,BJs RESTAURANTS INC,BJRI,Nasdaq,786213824
199,1782430,"Strawberry Fields REIT, Inc.",STRW,NYSE,682753856
200,1308208,"UNIVERSAL LOGISTICS HOLDINGS, INC.",ULH,Nasdaq,384945440
201,1527590,Ready Capital Corp,RC,NYSE,434487104
202,879635,MID PENN BANCORP INC,MPB,Nasdaq,674398976
203,1175535,Whitestone REIT,WSR,NYSE,684532544
204,1708055,Ribbon Communications Inc.,RBBN,Nasdaq,536862720
205,1834376,InnovAge Holding Corp.,INNV,Nasdaq,727252480
206,826154,ORRSTOWN FINANCIAL SERVICES INC,ORRF,Nasdaq,669392832
207,1735438,MeiraGTx Holdings plc,MGTX,Nasdaq,664496192
208,1834026,Gold Royalty Corp.,GROY,NYSE,657458176
209,1163668,"SOUTH PLAINS FINANCIAL, INC.",SPFI,Nasdaq,615793152
210,1257640,KRONOS WORLDWIDE INC,KRO,NYSE,554556032
211,1591588,"A-Mark Precious Metals, Inc.",AMRK,Nasdaq,626706752
212,1729173,Uxin Ltd,UXIN,Nasdaq,585520448
213,1963685,RICHTECH ROBOTICS INC.,RR,Nasdaq,646578880
214,1525769,"Dave & Buster's Entertainment, Inc.",PLAY,Nasdaq,518958464
215,1166663,TSAKOS ENERGY NAVIGATION LTD,TEN,NYSE,765542400
216,799233,HEARTLAND EXPRESS INC,HTLD,Nasdaq,588601280
217,1743725,"GRID DYNAMICS HOLDINGS, INC.",GDYN,Nasdaq,701339072
218,750686,CAMDEN NATIONAL CORP,CAC,Nasdaq,667243328
219,1750284,"Olema Pharmaceuticals, Inc.",OLMA,Nasdaq,545159744
220,855886,JOHN HANCOCK PREMIUM DIVIDEND FUND,PDT,NYSE,638916032
221,1436208,Legacy Housing Corp,LEGH,Nasdaq,477851936
222,1000177,NORDIC AMERICAN TANKERS Ltd,NAT,NYSE,783477440
223,1932737,ROBO.AI INC.,AIIO,Nasdaq,189531920
224,1530804,Tronox Holdings plc,TROX,NYSE,550176576
225,2059573,Pinewood Technologies Group plc,PINWF,OTC,558657216
226,783412,DAILY JOURNAL CORP,DJCO,Nasdaq,543986816
227,1173514,"HYSTER-YALE, INC.",HY,NYSE,519422848
228,1010086,SIGA TECHNOLOGIES INC,SIGA,Nasdaq,435396736
229,1664710,"Keros Therapeutics, Inc.",KROS,Nasdaq,527062944
230,1728117,"Gossamer Bio, Inc.",GOSS,Nasdaq,580955136
231,1320461,Cooper-Standard Holdings Inc.,CPS,NYSE,526817440
232,1514705,"SunCoke Energy, Inc.",SXC,NYSE,572338880
233,317788,"Digital Turbine, Inc.",APPS,Nasdaq,582052800
234,2042022,"WhiteFiber, Inc.",WYFI,Nasdaq,751582784
235,1084201,SINOVAC BIOTECH LTD,SVA,Nasdaq,642436736
236,1766600,SNDL Inc.,SNDL,Nasdaq,437750016
237,39311,INDEPENDENT BANK CORP /MI/,IBCP,Nasdaq,642898944
238,2030617,"Picard Medical, Inc.",PMI,NYSE,179830880
239,1320375,BlackRock Enhanced Global Dividend Trust,BOE,NYSE,636065408
240,945983,"Climb Global Solutions, Inc.",CLMB,Nasdaq,509785792
241,1819142,SES AI Corp,SES,NYSE,726492800
242,1820378,Thornburg Income Builder Opportunities Trust,TBLD,Nasdaq,648054080
243,1535778,"MSC INCOME FUND, INC.",MSIF,NYSE,574978880
244,1423221,Quanex Building Products CORP,NX,NYSE,599151552
245,1725033,X Financial,XYF,NYSE,483651392
246,1848731,Glass House Brands Inc.,GLASF,OTC,601944768
247,859070,FIRST COMMUNITY BANKSHARES INC /VA/,FCBC,Nasdaq,604574976
248,1826286,Vinci Compass Investments Ltd.,VINP,Nasdaq,758935936
249,1548717,"Cohen & Steers Ltd Duration Preferred & Income Fund, Inc.",LDP,NYSE,622586112
250,1546417,"Bloomin' Brands, Inc.",BLMN,Nasdaq,578624000
251,1655759,"ARVINAS, INC.",ARVN,Nasdaq,649949888
252,1823986,Waterdrop Inc.,WDH,NYSE,578660032
253,1038773,SMARTFINANCIAL INC.,SMBK,NYSE,609602368
254,1185348,PRA GROUP INC,PRAA,Nasdaq,621515968
255,69488,MYERS INDUSTRIES INC,MYE,NYSE,661371968
256,1590976,"MALIBU BOATS, INC.",MBUU,Nasdaq,489316576
257,1173489,CEVA INC,CEVA,Nasdaq,599484352
258,916907,"SOUTHERN MISSOURI BANCORP, INC.",SMBC,Nasdaq,613992000
259,1625791,Kornit Digital Ltd.,KRNT,Nasdaq,579715904
260,1273685,"ADAMAS TRUST, INC.",ADAM,Nasdaq,638475968
261,884152,Invesco Municipal Opportunity Trust,VMO,NYSE,656197888
262,1793129,Nuveen Dynamic Municipal Opportunities Fund,NDMO,NYSE,639698112
263,1348911,"KalVista Pharmaceuticals, Inc.",KALV,Nasdaq,661650944
264,1000623,"Mativ Holdings, Inc.",MATV,NYSE,721243840
265,1743235,Rio2 Ltd,RIOFF,OTC,714554880
266,1849396,Nexxen International Ltd.,NEXN,Nasdaq,401112480
267,1071255,"GOLDEN ENTERTAINMENT, INC.",GDEN,Nasdaq,774226432
268,1285550,"ClearPoint Neuro, Inc.",CLPT,Nasdaq,440561280
269,1050441,EAGLE BANCORP INC,EGBN,Nasdaq,498695712
270,43196,"GRAY MEDIA, INC",GTN,NYSE,538772096
271,1550695,Performant Healthcare Inc,PHLT,Nasdaq,623413248
272,1053352,HERITAGE COMMERCE CORP,HTBK,Nasdaq,647154240
273,1576942,"Stitch Fix, Inc.",SFIX,Nasdaq,572923072
274,1459839,"SI-BONE, Inc.",SIBN,Nasdaq,748933120
275,1857154,"Krispy Kreme, Inc.",DNUT,Nasdaq,671496000
276,1044777,OneSpan Inc.,OSPN,Nasdaq,477240416
277,1579684,"Gannett Co., Inc.",GCI,NYSE,716419584
278,1576873,AMERICAN BATTERY TECHNOLOGY Co,ABAT,Nasdaq,476339904
279,1053988,"BLACKROCK MUNIHOLDINGS NEW JERSEY QUALITY FUND, INC.",MUJ,NYSE,633434496
280,1034665,"BLACKROCK MUNIHOLDINGS FUND, INC.",MHD,NYSE,615792512
281,1921158,Bitfufu Inc.,FUFU,Nasdaq,502776544
282,1793855,abrdn Global Infrastructure Income Fund,ASGI,NYSE,596250368
283,1497645,"Summit Hotel Properties, Inc.",INN,NYSE,592976448
284,1771706,Vireo Growth Inc.,VREOF,OTC,607636224
285,1163739,NABORS INDUSTRIES LTD,NBR,NYSE,707381696
286,1370755,BlackRock TCP Capital Corp.,TCPC,Nasdaq,492926432
287,1221029,CEMENTOS PACASMAYO SAA,CPAC,NYSE,611218304
288,75288,OXFORD INDUSTRIES INC,OXM,NYSE,533433632
289,1710340,"Eton Pharmaceuticals, Inc.",ETON,Nasdaq,452680000
290,1840616,New Found Gold Corp.,NFGC,NYSE,528124544
291,1631596,KKR Real Estate Finance Trust Inc.,KREF,NYSE,542901184
292,1195738,NUVEEN CALIFORNIA AMT-FREE QUALITY MUNICIPAL INCOME FUND,NKX,NYSE,658196352
293,1034957,CRESUD INC,CRESY,Nasdaq,781542912
294,1395325,Eaton Vance Risk-Managed Diversified Equity Income Fund,ETJ,NYSE,592255744
295,1001614,"Riley Exploration Permian, Inc.",REPX,NYSE,569434048
296,1309402,Green Plains Inc.,GPRE,Nasdaq,663432896
297,1824814,Cognyte Software Ltd.,CGNT,Nasdaq,631182784
298,1761918,"Erasca, Inc.",ERAS,Nasdaq,720627968
299,1021561,"NU SKIN ENTERPRISES, INC.",NUS,NYSE,476775744
300,1528988,"BlackRock Utilities, Infrastructure & Power Opportunities Trust",BUI,NYSE,600350272
301,1227862,WESTERN ASSET EMERGING MARKETS DEBT FUND INC.,EMD,NYSE,616763968
302,1765812,"PT Ace Hardware Indonesia, Tbk./ADR",PHDWY,OTC,620829952
303,1609151,"Weave Communications, Inc.",WEAV,NYSE,477517632
304,1512228,NIOCORP DEVELOPMENTS LTD,NB,Nasdaq,608950976
305,1774342,Nuveen Municipal Credit Opportunities Fund,NMCO,NYSE,597340544
306,1368265,Clean Energy Fuels Corp.,CLNE,Nasdaq,486848224
307,1336706,NORTHPOINTE BANCSHARES INC,NPB,NYSE,567016896
308,916789,HELEN OF TROY LTD,HELE,Nasdaq,439159584
309,1913847,Coincheck Group N.V.,CNCK,Nasdaq,446077536
310,1479681,"Nutex Health, Inc.",NUTX,Nasdaq,604452160
311,1958086,Core Laboratories Inc. /DE/,CLB,NYSE,701244672
312,1652535,"ICHOR HOLDINGS, LTD.",ICHR,Nasdaq,511637376
313,1084554,LIGHTBRIDGE Corp,LTBR,Nasdaq,581389184
314,1967649,Vestis Corp,VSTS,NYSE,705343488
315,885601,Invesco Value Municipal Income Trust,IIM,NYSE,591179648
316,216851,"ADAMS NATURAL RESOURCES FUND, INC.",PEO,NYSE,590475712
317,917100,"INDIA FUND, INC.",IFN,NYSE,608799552
318,2042902,EQV Ventures Acquisition Corp. II,EVAC,NYSE,591409024
319,1769617,"HarborOne Bancorp, Inc.",HONE,Nasdaq,522219040
320,1051003,"BLACKROCK DEBT STRATEGIES FUND, INC.",DSU,NYSE,573692608
321,1562818,BlackRock Multi-Sector Income Trust,BIT,NYSE,579539456
322,1145986,ASPEN AEROGELS INC,ASPN,NYSE,266123600
323,1815620,Opthea Ltd,OPT,Nasdaq,583100736
324,60714,"LSB INDUSTRIES, INC.",LXU,NYSE,693544960
325,1301787,BlueLinx Holdings Inc.,BXC,NYSE,437375872
326,1722606,Metalla Royalty & Streaming Ltd.,MTA,NYSE,672749760
327,1377757,Galiano Gold Inc.,GAU,NYSE,606051648
328,1809691,AMTD Digital Inc.,HKD,NYSE,505989760
329,896264,USANA HEALTH SCIENCES INC,USNA,NYSE,354100192
330,1500881,enCore Energy Corp.,EU,Nasdaq,503264576
331,737468,WASHINGTON TRUST BANCORP INC,WASH,Nasdaq,528980896
332,895447,SHOE CARNIVAL INC,SCVL,Nasdaq,479571840
333,2034267,"Cantor Equity Partners IV, Inc.",CEPF,Nasdaq,589859968
334,716314,GRAHAM CORP,GHM,NYSE,638949568
335,1234006,GLADSTONE COMMERCIAL CORP,GOOD,Nasdaq,550284288
336,1975641,Zhengye Biotechnology Holding Ltd,ZYBT,Nasdaq,101891464
337,1749723,New Fortress Energy Inc.,NFE,Nasdaq,313008096
338,1814287,"Abacus Global Management, Inc.",ABL,Nasdaq,632460928
339,884624,Orthofix Medical Inc.,OFIX,Nasdaq,594390912
340,1602584,Calamos Dynamic Convertible & Income Fund,CCD,Nasdaq,575187904
341,1219120,ADVENT CONVERTIBLE & INCOME FUND,AVK,NYSE,559364608
342,886043,WESTERN ASSET MANAGED MUNICIPALS FUND INC.,MMU,NYSE,568582208
343,1816590,COMPASS Pathways plc,CMPS,Nasdaq,507930144
344,1527753,"Personalis, Inc.",PSNL,Nasdaq,674913088
345,798783,UNIVERSAL HEALTH REALTY INCOME TRUST,UHT,NYSE,548701568
346,1791145,GBank Financial Holdings Inc.,GBFH,Nasdaq,508509920
347,1610853,"HELIUS MEDICAL TECHNOLOGIES, INC.",HSDT,Nasdaq,197869168
348,903419,ALERUS FINANCIAL CORP,ALRS,Nasdaq,547057920
349,1866633,"Consensus Cloud Solutions, Inc.",CCSI,Nasdaq,446635744
350,899751,TITAN INTERNATIONAL INC,TWI,NYSE,496903136
351,1058867,GUARANTY BANCSHARES INC /TX/,GNTY,NYSE,566815936
352,1974551,Robex Resources Inc.,RSRBF,OTC,745418048
353,1057060,MARINEMAX INC,HZO,NYSE,484217984
354,1440972,Lithium Argentina AG,LAR,NYSE,706274688
355,928340,Consolidated Water Co. Ltd.,CWCO,Nasdaq,572412928
356,1059386,Invesco Senior Income Trust,VVR,NYSE,518727328
357,930420,KFORCE INC,KFRC,NYSE,548765248
358,1500412,"Ambiq Micro, Inc.",AMBQ,NYSE,473762144
359,1848416,Verano Holdings Corp.,VRNOF,OTC,426942720
360,1035092,SHORE BANCSHARES INC,SHBI,Nasdaq,539173568
361,1781730,"Third Coast Bancshares, Inc.",TCBX,Nasdaq,521861600
362,1633336,"Crescent Capital BDC, Inc.",CCAP,Nasdaq,503368928
363,1401521,AMERICAN COASTAL INSURANCE Corp,ACIC,Nasdaq,582745344
364,1653558,"Priority Technology Holdings, Inc.",PRTH,Nasdaq,436375456
365,1285786,EMX Royalty Corp,EMX,NYSE,453291424
366,1743102,Jiayin Group Inc.,JFIN,Nasdaq,473921568
367,876427,"MONRO, INC.",MNRO,Nasdaq,515137376
368,1315257,Koppers Holdings Inc.,KOP,NYSE,576453248
369,1233681,BLACKROCK Ltd DURATION INCOME TRUST,BLW,NYSE,539558528
370,912147,"ROYCE MICRO-CAP TRUST, INC.",RMT,NYSE,523298976
371,1556739,"Thryv Holdings, Inc.",THRY,Nasdaq,263204432
372,862831,FINANCIAL INSTITUTIONS INC,FISI,Nasdaq,593247168
373,1267902,WESTERN ASSET INFLATION-LINKED OPPORTUNITIES & INCOME FUND,WIW,NYSE,541479616
374,1462056,"Backblaze, Inc.",BLZE,Nasdaq,294159808
375,1720420,IBEX Ltd,IBEX,Nasdaq,484548960
376,1064052,FREEGOLD VENTURES LTD,FGOVF,OTC,498413760
377,1795815,California BanCorp \ CA,BCAL,Nasdaq,612837440
378,1828791,Viant Technology Inc.,DSP,Nasdaq,651806848
379,1626971,"Corvus Pharmaceuticals, Inc.",CRVS,Nasdaq,597454976
380,1661181,Organogenesis Holdings Inc.,ORGO,Nasdaq,788124416
381,1859690,Arqit Quantum Inc.,ARQQ,Nasdaq,420993376
